ID,Faixa_etaria,Idade,Sexo,Genero,Cor_raca,Residencia_fixa,Tempo_rua_RJ,Voltar_cidade_natal
790,18 a 30,28,Masculino,Outro,Preta,Não,Mais de 10 anos até 15 anos,Não se aplica
791,50 a 59,54,Masculino,Homem Cis,Branca,Não,Mais de 1 ano até 5 anos,Não se aplica
792,31 a 49,33,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não
793,50 a 59,54,Feminino,Mulher Cis,Parda,Não,Mais de 5 ano até 10 anos,Não
794,50 a 59,55,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não
795,31 a 49,45,Masculino,Homem Cis,Branca,Não,Mais de 5 ano até 10 anos,Não se aplica
796,50 a 59,51,Masculino,Homem Cis,Branca,Não,Mais de 15 anos,Não se aplica
797,60 a 69,61,Masculino,Homem Cis,Branca,Sim,Mais de 1 ano até 5 anos,Não se aplica
798,18 a 30,30,Masculino,Homem Cis,Preta,Não,Mais de 6 meses até 1 ano,Não se aplica
799,18 a 30,20,Feminino,Mulher Cis,Parda,Não,Mais de 1 ano até 5 anos,Não
800,60 a 69,66,Feminino,Mulher Cis,Branca,Não,Mais de 1 mês até 6 meses,Não se aplica
801,31 a 49,46,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,NS/NR
802,18 a 30,30,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Sim
803,50 a 59,55,Masculino,Homem Cis,Branca,Não,Mais de 1 mês até 6 meses,Sim
804,31 a 49,39,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Sim
805,50 a 59,51,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Sim
806,60 a 69,62,Masculino,Homem Cis,Branca,Não,Menos de 1 mês,Sim
807,31 a 49,39,Feminino,Mulher Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
808,50 a 59,53,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
809,50 a 59,54,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Não se aplica
810,50 a 59,52,Masculino,Homem Cis,Preta,Não,Mais de 15 anos,Não se aplica
811,50 a 59,52,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
812,12 a 17,17,Masculino,Homem Cis,Preta,Não,Mais de 10 anos até 15 anos,Não se aplica
813,31 a 49,49,Masculino,Homem Cis,Preta,Não,Mais de 1 mês até 6 meses,Não se aplica
814,18 a 30,24,Masculino,Homem Cis,Preta,Sim,Menos de 1 mês,Não se aplica
815,31 a 49,33,Masculino,Homem Cis,Preta,Não,Mais de 15 anos,Não se aplica
816,31 a 49,41,Masculino,Homem Cis,Branca,Não,Mais de 5 ano até 10 anos,Não se aplica
817,18 a 30,18,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
818,50 a 59,55,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não se aplica
819,31 a 49,33,Feminino,Mulher Cis,Preta,Não,Mais de 10 anos até 15 anos,Não se aplica
820,31 a 49,33,Feminino,Mulher Cis,Preta,Não,Mais de 10 anos até 15 anos,Não se aplica
821,60 a 69,65,Masculino,Homem Cis,Branca,Não,Mais de 15 anos,Sim
822,50 a 59,51,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Não
823,60 a 69,60,Masculino,Homem Cis,Branca,Não,Mais de 1 ano até 5 anos,Não se aplica
824,31 a 49,33,Masculino,Homem Cis,Preta,Não,Mais de 15 anos,Não se aplica
825,50 a 59,55,Masculino,Homem Cis,Parda,Sim,Mais de 6 meses até 1 ano,Sim
826,31 a 49,36,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não
827,31 a 49,49,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
828,18 a 30,18,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Sim
829,31 a 49,45,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não
830,31 a 49,39,Masculino,Mulher Trans,Preta,Não,Mais de 1 ano até 5 anos,Não
831,31 a 49,41,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não se aplica
832,31 a 49,46,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não
833,18 a 30,19,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Não
834,31 a 49,37,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não se aplica
835,31 a 49,41,Masculino,Mulher Trans,Parda,Não,Mais de 5 ano até 10 anos,Não
836,18 a 30,26,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Não
837,18 a 30,29,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não
838,18 a 30,24,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Não
839,31 a 49,38,Masculino,Homem Cis,Preta,Não,Mais de 1 mês até 6 meses,Sim
840,31 a 49,33,Masculino,Homem Cis,Preta,Não,Mais de 10 anos até 15 anos,Não
841,50 a 59,59,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Não
842,31 a 49,40,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não se aplica
843,31 a 49,40,Feminino,Mulher Cis,Preta,Não,Mais de 15 anos,Não se aplica
844,31 a 49,39,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Não
845,70 a 79,72,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Não
846,18 a 30,25,Feminino,Homem Trans,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
847,31 a 49,31,Masculino,Homem Cis,Preta,Não,Mais de 10 anos até 15 anos,Não se aplica
848,31 a 49,42,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não se aplica
849,31 a 49,41,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Não se aplica
850,31 a 49,49,Masculino,Homem Cis,Parda,Sim,Menos de 1 mês,Não se aplica
851,18 a 30,28,Feminino,Mulher Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
852,31 a 49,48,Masculino,Homem Cis,Preta,Não,Mais de 15 anos,Não se aplica
853,50 a 59,58,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não se aplica
854,50 a 59,50,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não se aplica
855,50 a 59,54,Masculino,Homem Cis,Parda,Sim,Mais de 6 meses até 1 ano,Não
856,31 a 49,31,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Sim
857,31 a 49,42,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não
858,31 a 49,37,Masculino,Homem Cis,Branca,Sim,Mais de 1 mês até 6 meses,Não se aplica
859,18 a 30,18,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não
860,31 a 49,32,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não
861,18 a 30,28,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Sim
862,18 a 30,19,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não
863,50 a 59,53,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não
864,31 a 49,32,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não
865,31 a 49,46,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
866,18 a 30,30,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Não se aplica
867,50 a 59,51,Masculino,Homem Cis,Preta,Sim,Mais de 6 meses até 1 ano,Não se aplica
868,31 a 49,31,Feminino,Mulher Cis,Parda,Sim,Menos de 1 mês,Sim
869,18 a 30,23,Masculino,Homem Cis,Preta,Sim,Mais de 1 mês até 6 meses,Não se aplica
870,31 a 49,42,Masculino,Homem Cis,Preta,Sim,Mais de 5 ano até 10 anos,Sim
871,18 a 30,27,Masculino,Homem Cis,Parda,Sim,Mais de 6 meses até 1 ano,Não se aplica
872,18 a 30,18,Feminino,Mulher Cis,Preta,Não,Mais de 1 mês até 6 meses,Não se aplica
873,18 a 30,26,Masculino,Homem Cis,Preta,Não,Mais de 15 anos,Sim
874,18 a 30,25,Masculino,Homem Cis,Parda,Não,Menos de 1 mês,Não se aplica
875,18 a 30,29,Masculino,Homem Cis,Parda,Não,Menos de 1 mês,Não se aplica
876,18 a 30,20,Feminino,Mulher Cis,Parda,Não,Mais de 1 ano até 5 anos,Não
877,18 a 30,18,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
878,31 a 49,34,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Não se aplica
879,18 a 30,28,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Sim
880,18 a 30,28,Masculino,Homem Cis,Parda,Sim,Menos de 1 mês,Sim
881,31 a 49,36,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
882,31 a 49,35,Feminino,Mulher Cis,Preta,Sim,Mais de 5 ano até 10 anos,Não se aplica
883,31 a 49,38,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Não se aplica
884,18 a 30,18,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
885,18 a 30,19,Feminino,Mulher Cis,Parda,Não,Mais de 6 meses até 1 ano,Não se aplica
886,31 a 49,44,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
887,31 a 49,49,Masculino,NS/NR,Preta,Sim,Mais de 6 meses até 1 ano,Não se aplica
888,50 a 59,53,Feminino,NS/NR,Parda,Não,Mais de 10 anos até 15 anos,Não
889,31 a 49,49,Masculino,NS/NR,Parda,Não,Mais de 15 anos,Não se aplica
890,18 a 30,27,Masculino,NS/NR,Preta,Não,Mais de 5 ano até 10 anos,Não
891,70 a 79,73,Masculino,NS/NR,Preta,Não,Mais de 15 anos,Não se aplica
892,18 a 30,26,Masculino,NS/NR,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
893,31 a 49,38,Feminino,Homem Trans,Parda,Não,Mais de 10 anos até 15 anos,Sim
894,31 a 49,48,Masculino,NS/NR,Parda,Não,Mais de 5 ano até 10 anos,NS/NR
895,31 a 49,42,Masculino,NS/NR,Parda,Não,Mais de 1 mês até 6 meses,Não se aplica
896,31 a 49,41,Masculino,NS/NR,Parda,Não,Menos de 1 mês,Não
897,31 a 49,42,Masculino,NS/NR,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
898,31 a 49,31,Masculino,NS/NR,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
899,18 a 30,28,Masculino,Homem Cis,Branca,Sim,Mais de 1 mês até 6 meses,Não
900,31 a 49,39,Masculino,Homem Cis,Branca,Não,Mais de 1 ano até 5 anos,Não se aplica
901,18 a 30,25,Masculino,Homem Cis,Preta,Não,Mais de 10 anos até 15 anos,Não se aplica
902,18 a 30,23,Masculino,NS/NR,Preta,Não,Mais de 1 ano até 5 anos,Não
903,18 a 30,20,Masculino,NS/NR,Preta,Não,Mais de 1 ano até 5 anos,Sim
904,31 a 49,45,Feminino,NS/NR,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
905,31 a 49,36,Masculino,NS/NR,Parda,Sim,Mais de 1 ano até 5 anos,Não se aplica
906,50 a 59,59,Masculino,NS/NR,Preta,Não,Mais de 1 mês até 6 meses,Não se aplica
907,50 a 59,58,Masculino,NS/NR,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
908,31 a 49,40,Masculino,NS/NR,Parda,Não,Menos de 1 mês,Não
909,31 a 49,40,Feminino,NS/NR,Parda,Não,NS/NR,Sim
910,31 a 49,48,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Sim
911,50 a 59,58,Masculino,Homem Cis,Preta,Não,Mais de 10 anos até 15 anos,Sim
912,50 a 59,55,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não
913,31 a 49,44,Feminino,Mulher Cis,Parda,Não,Mais de 15 anos,Não se aplica
914,31 a 49,36,Masculino,Homem Cis,Branca,Não,Mais de 1 mês até 6 meses,Sim
915,31 a 49,47,Masculino,Homem Cis,Parda,Sim,Mais de 10 anos até 15 anos,Não se aplica
916,31 a 49,44,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não
917,31 a 49,37,Masculino,Homem Cis,Branca,Não,Mais de 1 ano até 5 anos,Sim
918,31 a 49,35,Feminino,Mulher Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
919,18 a 30,28,Feminino,Mulher Cis,Parda,Sim,Mais de 15 anos,Não se aplica
920,18 a 30,30,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Sim
921,60 a 69,61,Masculino,Homem Cis,Branca,Não,Mais de 6 meses até 1 ano,Não se aplica
922,50 a 59,51,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Não se aplica
923,31 a 49,40,Masculino,Homem Cis,Branca,Não,Mais de 1 ano até 5 anos,Não se aplica
924,18 a 30,27,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Sim
925,31 a 49,34,Masculino,Homem Cis,Preta,Não,Mais de 15 anos,Não se aplica
926,31 a 49,49,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
927,31 a 49,45,Masculino,Homem Cis,Preta,Não,Mais de 15 anos,Não se aplica
928,50 a 59,54,Masculino,Homem Cis,Preta,Sim,Mais de 15 anos,Não
929,60 a 69,61,Masculino,Homem Cis,Branca,Não,Mais de 6 meses até 1 ano,Não
930,31 a 49,42,Masculino,Homem Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não se aplica
931,31 a 49,34,Feminino,Mulher Cis,Parda,Não,Mais de 1 mês até 6 meses,Sim
932,50 a 59,55,Masculino,Homem Cis,Branca,Sim,Mais de 1 ano até 5 anos,Não se aplica
933,31 a 49,39,Masculino,Homem Cis,Preta,Não,Mais de 10 anos até 15 anos,Não se aplica
934,18 a 30,25,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Não se aplica
935,18 a 30,28,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
936,31 a 49,45,Masculino,Homem Cis,Preta,Não,Mais de 15 anos,Sim
937,31 a 49,46,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
938,50 a 59,56,Masculino,Homem Cis,Preta,Não,Mais de 15 anos,Não se aplica
939,50 a 59,54,Masculino,Homem Cis,Branca,Não,Mais de 5 ano até 10 anos,Não
940,18 a 30,27,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Sim
941,60 a 69,69,Feminino,Mulher Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
942,18 a 30,27,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Sim
943,50 a 59,55,Masculino,Homem Cis,Branca,Sim,Mais de 1 ano até 5 anos,Não se aplica
944,18 a 30,30,Masculino,Homem Cis,Preta,Não,Mais de 15 anos,Não se aplica
945,18 a 30,24,Masculino,Homem Cis,Branca,Não,Mais de 1 mês até 6 meses,Não se aplica
946,18 a 30,28,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
947,31 a 49,34,Masculino,Homem Cis,Preta,Não,Mais de 1 mês até 6 meses,Não
948,31 a 49,32,Masculino,Homem Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não se aplica
949,50 a 59,53,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não se aplica
950,31 a 49,32,Masculino,Homem Cis,Preta,Não,Mais de 1 mês até 6 meses,Não
951,31 a 49,37,Feminino,Mulher Cis,Preta,Não,Mais de 10 anos até 15 anos,Não se aplica
952,50 a 59,51,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
953,31 a 49,35,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Sim
954,31 a 49,46,Feminino,Mulher Cis,Parda,Não,Mais de 1 ano até 5 anos,Não
955,18 a 30,30,Masculino,Homem Cis,Parda,Não,Menos de 1 mês,Não
956,31 a 49,37,Masculino,Homem Cis,Branca,Não,Mais de 15 anos,Não
957,31 a 49,49,Masculino,Homem Cis,Preta,Não,Mais de 15 anos,Não
958,31 a 49,45,Masculino,Homem Cis,Preta,Não,Mais de 1 mês até 6 meses,Não se aplica
959,31 a 49,41,Masculino,Homem Cis,Branca,Não,Mais de 5 ano até 10 anos,Não se aplica
960,31 a 49,37,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Sim
961,31 a 49,36,Masculino,Homem Cis,Branca,Não,Mais de 1 mês até 6 meses,Não
962,50 a 59,58,Masculino,Homem Cis,Branca,Não,Mais de 1 mês até 6 meses,Não se aplica
963,31 a 49,41,Masculino,Homem Cis,Branca,Não,Mais de 6 meses até 1 ano,Não se aplica
964,31 a 49,35,Feminino,Mulher Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não se aplica
965,50 a 59,53,Masculino,NS/NR,Preta,Não,Mais de 6 meses até 1 ano,Não se aplica
966,31 a 49,38,Masculino,NS/NR,Preta,Não,Mais de 6 meses até 1 ano,Não se aplica
967,18 a 30,18,Feminino,NS/NR,Preta,Não,Mais de 15 anos,Não se aplica
968,60 a 69,61,Masculino,NS/NR,Branca,Não,Mais de 1 ano até 5 anos,Não se aplica
969,18 a 30,29,Feminino,NS/NR,Preta,Não,Mais de 1 mês até 6 meses,Não se aplica
970,31 a 49,47,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não
971,18 a 30,25,Masculino,NS/NR,Preta,Não,Mais de 10 anos até 15 anos,Não se aplica
972,31 a 49,37,Masculino,NS/NR,Parda,Não,Mais de 10 anos até 15 anos,Não
973,18 a 30,25,Masculino,NS/NR,Amarela,Sim,Mais de 1 ano até 5 anos,Não se aplica
974,31 a 49,40,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Não
975,31 a 49,45,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Sim
976,18 a 30,24,Feminino,Mulher Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
977,18 a 30,25,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
978,18 a 30,22,Feminino,Mulher Cis,Preta,Sim,Menos de 1 mês,Não se aplica
979,31 a 49,49,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Não se aplica
980,31 a 49,39,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não se aplica
981,31 a 49,46,Masculino,Homem Cis,Preta,Não,Mais de 1 mês até 6 meses,Não se aplica
982,31 a 49,49,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não
983,31 a 49,39,Feminino,Mulher Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
984,50 a 59,57,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Sim
985,18 a 30,30,Feminino,Mulher Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
986,50 a 59,58,Masculino,Homem Cis,Branca,Não,Mais de 1 ano até 5 anos,Sim
987,31 a 49,36,Masculino,Homem Cis,Branca,Não,Mais de 15 anos,Não
988,31 a 49,45,Masculino,Homem Cis,Parda,Sim,Mais de 1 mês até 6 meses,Sim
989,50 a 59,54,Masculino,Homem Cis,Branca,Não,Mais de 1 ano até 5 anos,Não
990,31 a 49,49,Masculino,Mulher Trans,Parda,Não,Mais de 1 mês até 6 meses,Não se aplica
991,31 a 49,36,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Não se aplica
992,50 a 59,59,Masculino,Homem Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não se aplica
993,31 a 49,40,Masculino,Homem Cis,Parda,Não,Menos de 1 mês,Sim
994,50 a 59,55,Masculino,Homem Cis,Parda,Sim,Mais de 1 mês até 6 meses,Sim
995,31 a 49,35,Masculino,Homem Cis,Preta,Sim,Menos de 1 mês,Não se aplica
996,31 a 49,38,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Não se aplica
997,31 a 49,32,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Não
998,31 a 49,31,Masculino,Homem Cis,Branca,Não,Mais de 1 mês até 6 meses,Sim
999,60 a 69,65,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não
1000,18 a 30,28,Feminino,Homem Trans,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
1001,50 a 59,59,Masculino,Homem Cis,Preta,Sim,Mais de 1 ano até 5 anos,Não se aplica
1002,31 a 49,49,Masculino,Homem Cis,Parda,Sim,Mais de 6 meses até 1 ano,Não se aplica
1003,31 a 49,38,Masculino,Homem Cis,Branca,Sim,Mais de 10 anos até 15 anos,Sim
1004,50 a 59,51,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Não
1005,31 a 49,31,Feminino,Mulher Cis,Parda,Não,Mais de 15 anos,Não
1006,31 a 49,40,Masculino,Homem Cis,Parda,Sim,Mais de 5 ano até 10 anos,Não
1007,31 a 49,47,Masculino,Homem Cis,Parda,Não,Menos de 1 mês,Não se aplica
1008,18 a 30,26,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Sim
1009,60 a 69,62,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Sim
1010,60 a 69,62,Masculino,Homem Cis,Branca,Não,Mais de 1 ano até 5 anos,Sim
1011,31 a 49,39,Masculino,Homem Cis,Preta,Não,Menos de 1 mês,Não se aplica
1012,18 a 30,28,Masculino,Homem Cis,Parda,Não,Menos de 1 mês,Não se aplica
1013,31 a 49,36,Masculino,Homem Cis,Preta,Não,Mais de 6 meses até 1 ano,Não se aplica
1014,31 a 49,48,Feminino,Mulher Cis,Preta,Não,NS/NR,Não se aplica
1015,50 a 59,50,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
1016,18 a 30,28,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Não se aplica
1017,31 a 49,42,Feminino,Mulher Cis,Preta,Não,Mais de 6 meses até 1 ano,Não se aplica
1018,50 a 59,56,Masculino,Homem Cis,Branca,Não,Mais de 5 ano até 10 anos,Não se aplica
1019,31 a 49,41,Feminino,Mulher Cis,Parda,Não,Mais de 5 ano até 10 anos,Sim
1020,31 a 49,49,Masculino,Homem Cis,Preta,Não,Mais de 1 mês até 6 meses,Sim
1021,50 a 59,55,Masculino,Homem Cis,Preta,Sim,Mais de 6 meses até 1 ano,Sim
1022,50 a 59,53,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não se aplica
1023,18 a 30,30,Masculino,Homem Cis,Preta,Não,Mais de 6 meses até 1 ano,Não se aplica
1024,50 a 59,50,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Não
1025,60 a 69,60,Masculino,Homem Cis,Preta,Não,Mais de 6 meses até 1 ano,Não se aplica
1026,50 a 59,51,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não
1027,60 a 69,60,Masculino,Homem Cis,Indígena,Não,Mais de 1 ano até 5 anos,Não se aplica
1028,31 a 49,36,Feminino,Mulher Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
1029,18 a 30,30,Masculino,Outro,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
1030,18 a 30,30,Feminino,Mulher Cis,Parda,Não,Mais de 5 ano até 10 anos,Não se aplica
1031,31 a 49,43,Masculino,Homem Cis,Preta,Não,Mais de 1 mês até 6 meses,Sim
1032,31 a 49,32,Masculino,Homem Cis,Preta,Não,Mais de 1 mês até 6 meses,Não se aplica
1033,31 a 49,36,Masculino,Homem Cis,Parda,Sim,Menos de 1 mês,Não se aplica
1034,18 a 30,28,Masculino,Homem Cis,Branca,Sim,Menos de 1 mês,Não se aplica
1035,50 a 59,51,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
1036,31 a 49,39,Masculino,Homem Cis,Preta,Sim,Mais de 15 anos,Não
1037,18 a 30,24,Masculino,Homem Cis,Preta,Não,Mais de 15 anos,Não se aplica
1038,50 a 59,55,Masculino,Homem Cis,Branca,Não,Mais de 15 anos,Sim
1039,50 a 59,57,Masculino,Homem Cis,Parda,Sim,NS/NR,Não
1040,50 a 59,57,Masculino,Homem Cis,Parda,Não,Menos de 1 mês,Sim
1041,50 a 59,57,Masculino,Homem Cis,Branca,Não,Mais de 5 ano até 10 anos,Não
1042,31 a 49,38,Masculino,Homem Cis,Preta,Sim,Mais de 10 anos até 15 anos,Não
1043,31 a 49,45,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Sim
1044,60 a 69,64,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não
1045,31 a 49,45,Masculino,Homem Cis,Branca,Sim,Menos de 1 mês,Não
1046,31 a 49,34,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
1047,50 a 59,50,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Não
1048,31 a 49,42,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
1049,50 a 59,53,Masculino,Homem Cis,Preta,Não,Mais de 10 anos até 15 anos,Não se aplica
1050,50 a 59,59,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Não se aplica
1051,31 a 49,45,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Não se aplica
1052,50 a 59,54,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Não
1053,18 a 30,18,Feminino,Mulher Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
1054,18 a 30,30,Masculino,Homem Cis,Preta,Sim,Mais de 1 mês até 6 meses,Não se aplica
1055,18 a 30,30,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não
1056,31 a 49,42,Masculino,Homem Cis,Branca,Não,Mais de 5 ano até 10 anos,Não se aplica
1057,31 a 49,31,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Sim
1058,31 a 49,31,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
1059,31 a 49,46,Feminino,Mulher Cis,Preta,Não,Mais de 6 meses até 1 ano,Não se aplica
1060,31 a 49,38,Masculino,Homem Cis,Branca,Não,Mais de 10 anos até 15 anos,Não se aplica
1061,31 a 49,38,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
1062,60 a 69,66,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não
1063,31 a 49,48,Masculino,Homem Cis,Branca,Não,Mais de 1 mês até 6 meses,NS/NR
1064,50 a 59,51,Feminino,Mulher Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
1065,31 a 49,48,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Não
1066,31 a 49,46,Feminino,Mulher Cis,Preta,Não,Mais de 5 ano até 10 anos,Não
1067,60 a 69,68,Masculino,Homem Cis,Branca,Não,Mais de 15 anos,Não se aplica
1068,31 a 49,41,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não
1069,31 a 49,45,Feminino,Mulher Cis,Parda,Não,Mais de 5 ano até 10 anos,Não
1070,31 a 49,34,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Sim
